4844 2848 1183921645
4407 4736 1228782059
4413 1998 1225416082
20 3880 1158812885
20 515 1219156716
20 2160 1210604465
105 1767 1198031629
105 1767 1198031648
105 3768 1194156085
105 337 1206718976
105 4616 1208451304
3880 682 1160511785
3880 515 1163380747
3880 2934 1203198502
3880 182 1212095077
3880 104 1198517770
682 515 1167718488
682 1388 1224012844
682 3035 1173312336
682 3690 1173386883
515 3338 1172729583
515 104 1214722349
515 104 1214776277
515 3035 1215205541
515 367 1178557891
515 4737 1221245997
515 2957 1165832719
515 641 1217823346
515 641 1217868106
515 3022 1214850753
515 4265 1163566362
1982 3498 1184902376
1982 4952 1206648769
1982 876 1186074956
3768 3710 1187838628
3768 3710 1187841460
3768 2910 1222135061
3768 2910 1222186175
3768 3801 1216056375
285 1117 1168929782
285 2380 1217281468
2884 976 1194356588
3505 4385 1216778691
1998 857 1174883025
1998 857 1174920684
1998 2659 1186076213
1998 2275 1226179213
1998 2275 1226179214
2791 1879 1189631689
2791 3013 1174436394
2791 3013 1174436400
2791 3239 1200270119
2791 3423 1198346486
4787 3524 1216298873
4787 3699 1193408229
4787 4520 1219279357
1126 4906 1211913100
1126 4906 1211913109
2901 3524 1198483700
2901 3524 1198529733
2901 863 1198009434
2901 1963 1219330885
4906 2175 1230285191
4906 2175 1230285463
4906 1736 1230897458
1667 833 1192636416
212 1276 1161024179
1870 1211 1172295813
1870 114 1184959904
1870 838 1179889087
1870 1949 1188884622
1870 1949 1188884689
1870 1218 1222180192
1870 3208 1221015446
3354 2591 1159917862
3354 3035 1167877793
3354 4643 1213311255
3354 752 1188681306
884 610 1195751982
3581 4099 1222704616
3581 4682 1176298328
3581 4455 1182518608
2054 2555 1206911536
2054 1454 1224524531
2054 3966 1191971623
2054 632 1222572442
1653 3152 1206668332
1653 3152 1206731425
3338 4156 1230442324
3338 182 1175063845
3338 104 1225949096
3338 4676 1213628615
3338 4676 1213630787
3338 51 1168202769
3338 1717 1228796212
3338 1717 1228804422
3498 1857 1193049931
3498 1857 1193065314
16 3152 1161041068
16 4616 1217218504
445 1388 1214649740
445 3690 1194737149
4156 1879 1216662826
4156 931 1223739532
4156 4619 1218166276
4156 174 1168455816
3305 365 1187285267
3305 1031 1172451423
720 4973 1224698095
720 3110 1226542352
720 1245 1225418168
720 2829 1229014409
720 1477 1223844135
720 2525 1225399358
720 1388 1230657707
720 2947 1223436707
720 498 1229755613
720 806 1228945231
